"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.03277018275906,1.25973802172374,1.00793674222213,0,NA,18
1.2,1.06374382574728,1.00184622757413,1.02944744822558,0.0165562913907285,NA,18
1.4,1.03683303252023,1.00154567595132,1.01524509004435,0.033112582781457,86,18
1.6,1.07045688778468,1.00198723551976,1.03234556940385,0.0165562913907285,NA,18
1.8,1.09501097912809,1.0023901830704,1.03816151245339,0,NA,18
2,1.13249508653736,1.00136147201279,1.0206321705929,0.0165562913907285,NA,18
2.2,1.09343002921812,1.00179998739892,1.023295565152,0.00662251655629139,NA,18
2.4,1.04167291481017,1.0043575043824,1.04777828566636,0,NA,18
2.6,1.05682267354566,1.00197580498972,1.03204754216981,0.0033112582781457,NA,18
2.8,1.08212075757285,1.00347699132315,1.03773385868159,0,NA,18
3,1.09353943249989,1.00295164564787,1.01953986827308,0.00662251655629139,NA,18
